O*NET-SOC Code	Element ID	Element Name	Scale ID	Data Value	Date	Domain Source
13-1031.01	1.B.2.e.3	Supervision, Technical	EN	3.12	03/2002	Legacy Analyst
13-1031.01	1.B.2.f	Independence-Mean Extent	EN	2.95	03/2002	Legacy Analyst
13-1031.01	1.B.2.f.1	Creativity	EN	1.87	03/2002	Legacy Analyst
13-1031.01	1.B.2.f.2	Responsibility	EN	3.75	03/2002	Legacy Analyst
13-1031.01	1.B.2.f.3	Autonomy	EN	3.25	03/2002	Legacy Analyst
13-1031.02	1.B.2.a	Achievement-Mean Extent	EN	3.68	03/2002	Legacy Analyst
13-1031.02	1.B.2.a.1	Ability Utilization	EN	3.75	03/2002	Legacy Analyst
13-1031.02	1.B.2.a.2	Achievement	EN	3.62	03/2002	Legacy Analyst
13-1031.02	1.B.2.b	Working Conditions-Mean Extent	EN	3.27	03/2002	Legacy Analyst
13-1031.02	1.B.2.b.1	Activity	EN	3.62	03/2002	Legacy Analyst
13-1031.02	1.B.2.b.2	Independence	EN	3.00	03/2002	Legacy Analyst
13-1031.02	1.B.2.b.3	Variety	EN	3.25	03/2002	Legacy Analyst
13-1031.02	1.B.2.b.4	Compensation	EN	3.12	03/2002	Legacy Analyst
13-1031.02	1.B.2.b.5	Security	EN	3.37	03/2002	Legacy Analyst
13-1031.02	1.B.2.b.6	Working Conditions	EN	3.25	03/2002	Legacy Analyst
13-1031.02	1.B.2.c	Recognition-Mean Extent	EN	3.18	03/2002	Legacy Analyst
13-1031.02	1.B.2.c.1	Advancement	EN	3.87	03/2002	Legacy Analyst
13-1031.02	1.B.2.c.2	Recognition	EN	2.87	03/2002	Legacy Analyst
13-1031.02	1.B.2.c.3	Authority	EN	2.87	03/2002	Legacy Analyst
13-1031.02	1.B.2.c.4	Social Status	EN	3.12	03/2002	Legacy Analyst
13-1031.02	1.B.2.d	Relationships-Mean Extent	EN	3.16	03/2002	Legacy Analyst
13-1031.02	1.B.2.d.1	Co-workers	EN	3.37	03/2002	Legacy Analyst
13-1031.02	1.B.2.d.2	Social Service	EN	2.87	03/2002	Legacy Analyst
13-1031.02	1.B.2.d.3	Moral Values	EN	3.25	03/2002	Legacy Analyst
13-1031.02	1.B.2.e	Support-Mean Extent	EN	3.62	03/2002	Legacy Analyst
13-1031.02	1.B.2.e.1	Company Policies and Practices	EN	4.00	03/2002	Legacy Analyst
13-1031.02	1.B.2.e.2	Supervision, Human Relations	EN	3.75	03/2002	Legacy Analyst
13-1031.02	1.B.2.e.3	Supervision, Technical	EN	3.12	03/2002	Legacy Analyst
13-1031.02	1.B.2.f	Independence-Mean Extent	EN	3.08	03/2002	Legacy Analyst
13-1031.02	1.B.2.f.1	Creativity	EN	2.62	03/2002	Legacy Analyst
13-1031.02	1.B.2.f.2	Responsibility	EN	3.62	03/2002	Legacy Analyst
13-1031.02	1.B.2.f.3	Autonomy	EN	3.00	03/2002	Legacy Analyst
13-1032.00	1.B.2.a	Achievement-Mean Extent	EN	3.18	03/2002	Legacy Analyst
13-1032.00	1.B.2.a.1	Ability Utilization	EN	3.25	03/2002	Legacy Analyst
13-1032.00	1.B.2.a.2	Achievement	EN	3.12	03/2002	Legacy Analyst
13-1032.00	1.B.2.b	Working Conditions-Mean Extent	EN	3.20	03/2002	Legacy Analyst
13-1032.00	1.B.2.b.1	Activity	EN	3.25	03/2002	Legacy Analyst
13-1032.00	1.B.2.b.2	Independence	EN	3.25	03/2002	Legacy Analyst
13-1032.00	1.B.2.b.3	Variety	EN	3.12	03/2002	Legacy Analyst
13-1032.00	1.B.2.b.4	Compensation	EN	3.12	03/2002	Legacy Analyst
13-1032.00	1.B.2.b.5	Security	EN	3.37	03/2002	Legacy Analyst
13-1032.00	1.B.2.b.6	Working Conditions	EN	3.12	03/2002	Legacy Analyst
13-1032.00	1.B.2.c	Recognition-Mean Extent	EN	3.00	03/2002	Legacy Analyst
13-1032.00	1.B.2.c.1	Advancement	EN	3.62	03/2002	Legacy Analyst
13-1032.00	1.B.2.c.2	Recognition	EN	2.87	03/2002	Legacy Analyst
13-1032.00	1.B.2.c.3	Authority	EN	2.37	03/2002	Legacy Analyst
13-1032.00	1.B.2.c.4	Social Status	EN	3.12	03/2002	Legacy Analyst
13-1032.00	1.B.2.d	Relationships-Mean Extent	EN	3.12	03/2002	Legacy Analyst
13-1032.00	1.B.2.d.1	Co-workers	EN	3.25	03/2002	Legacy Analyst
13-1032.00	1.B.2.d.2	Social Service	EN	2.87	03/2002	Legacy Analyst
13-1032.00	1.B.2.d.3	Moral Values	EN	3.25	03/2002	Legacy Analyst
13-1032.00	1.B.2.e	Support-Mean Extent	EN	3.62	03/2002	Legacy Analyst
13-1032.00	1.B.2.e.1	Company Policies and Practices	EN	4.00	03/2002	Legacy Analyst
13-1032.00	1.B.2.e.2	Supervision, Human Relations	EN	3.75	03/2002	Legacy Analyst
13-1032.00	1.B.2.e.3	Supervision, Technical	EN	3.12	03/2002	Legacy Analyst
13-1032.00	1.B.2.f	Independence-Mean Extent	EN	3.04	03/2002	Legacy Analyst
13-1032.00	1.B.2.f.1	Creativity	EN	2.50	03/2002	Legacy Analyst
13-1032.00	1.B.2.f.2	Responsibility	EN	3.62	03/2002	Legacy Analyst
13-1032.00	1.B.2.f.3	Autonomy	EN	3.00	03/2002	Legacy Analyst
13-1041.01	1.B.2.a	Achievement-Mean Extent	EN	3.68	03/2002	Legacy Analyst
13-1041.01	1.B.2.a.1	Ability Utilization	EN	3.50	03/2002	Legacy Analyst
13-1041.01	1.B.2.a.2	Achievement	EN	3.87	03/2002	Legacy Analyst
13-1041.01	1.B.2.b	Working Conditions-Mean Extent	EN	3.25	03/2002	Legacy Analyst
13-1041.01	1.B.2.b.1	Activity	EN	3.62	03/2002	Legacy Analyst
13-1041.01	1.B.2.b.2	Independence	EN	3.12	03/2002	Legacy Analyst
13-1041.01	1.B.2.b.3	Variety	EN	3.25	03/2002	Legacy Analyst
13-1041.01	1.B.2.b.4	Compensation	EN	3.00	03/2002	Legacy Analyst
13-1041.01	1.B.2.b.5	Security	EN	3.75	03/2002	Legacy Analyst
13-1041.01	1.B.2.b.6	Working Conditions	EN	2.75	03/2002	Legacy Analyst
13-1041.01	1.B.2.c	Recognition-Mean Extent	EN	3.06	03/2002	Legacy Analyst
13-1041.01	1.B.2.c.1	Advancement	EN	3.37	03/2002	Legacy Analyst
13-1041.01	1.B.2.c.2	Recognition	EN	2.62	03/2002	Legacy Analyst
13-1041.01	1.B.2.c.3	Authority	EN	3.12	03/2002	Legacy Analyst
13-1041.01	1.B.2.c.4	Social Status	EN	3.12	03/2002	Legacy Analyst
13-1041.01	1.B.2.d	Relationships-Mean Extent	EN	3.00	03/2002	Legacy Analyst
13-1041.01	1.B.2.d.1	Co-workers	EN	3.50	03/2002	Legacy Analyst
13-1041.01	1.B.2.d.2	Social Service	EN	2.75	03/2002	Legacy Analyst
13-1041.01	1.B.2.d.3	Moral Values	EN	2.75	03/2002	Legacy Analyst
13-1041.01	1.B.2.e	Support-Mean Extent	EN	3.62	03/2002	Legacy Analyst
13-1041.01	1.B.2.e.1	Company Policies and Practices	EN	3.75	03/2002	Legacy Analyst
13-1041.01	1.B.2.e.2	Supervision, Human Relations	EN	4.00	03/2002	Legacy Analyst
13-1041.01	1.B.2.e.3	Supervision, Technical	EN	3.12	03/2002	Legacy Analyst
13-1041.01	1.B.2.f	Independence-Mean Extent	EN	3.08	03/2002	Legacy Analyst
13-1041.01	1.B.2.f.1	Creativity	EN	2.12	03/2002	Legacy Analyst
13-1041.01	1.B.2.f.2	Responsibility	EN	3.50	03/2002	Legacy Analyst
13-1041.01	1.B.2.f.3	Autonomy	EN	3.62	03/2002	Legacy Analyst
13-1041.02	1.B.2.a	Achievement-Mean Extent	EN	2.62	03/2002	Legacy Analyst
13-1041.02	1.B.2.a.1	Ability Utilization	EN	2.62	03/2002	Legacy Analyst
13-1041.02	1.B.2.a.2	Achievement	EN	2.62	03/2002	Legacy Analyst
13-1041.02	1.B.2.b	Working Conditions-Mean Extent	EN	3.14	03/2002	Legacy Analyst
13-1041.02	1.B.2.b.1	Activity	EN	3.25	03/2002	Legacy Analyst
13-1041.02	1.B.2.b.2	Independence	EN	2.75	03/2002	Legacy Analyst
13-1041.02	1.B.2.b.3	Variety	EN	2.62	03/2002	Legacy Analyst
13-1041.02	1.B.2.b.4	Compensation	EN	3.00	03/2002	Legacy Analyst
13-1041.02	1.B.2.b.5	Security	EN	3.87	03/2002	Legacy Analyst
13-1041.02	1.B.2.b.6	Working Conditions	EN	3.37	03/2002	Legacy Analyst
13-1041.02	1.B.2.c	Recognition-Mean Extent	EN	2.90	03/2002	Legacy Analyst
13-1041.02	1.B.2.c.1	Advancement	EN	2.87	03/2002	Legacy Analyst
13-1041.02	1.B.2.c.2	Recognition	EN	2.62	03/2002	Legacy Analyst
13-1041.02	1.B.2.c.3	Authority	EN	3.12	03/2002	Legacy Analyst
13-1041.02	1.B.2.c.4	Social Status	EN	3.00	03/2002	Legacy Analyst
13-1041.02	1.B.2.d	Relationships-Mean Extent	EN	3.20	03/2002	Legacy Analyst
13-1041.02	1.B.2.d.1	Co-workers	EN	3.37	03/2002	Legacy Analyst
13-1041.02	1.B.2.d.2	Social Service	EN	3.12	03/2002	Legacy Analyst
13-1041.02	1.B.2.d.3	Moral Values	EN	3.12	03/2002	Legacy Analyst
13-1041.02	1.B.2.e	Support-Mean Extent	EN	3.62	03/2002	Legacy Analyst
13-1041.02	1.B.2.e.1	Company Policies and Practices	EN	3.87	03/2002	Legacy Analyst
13-1041.02	1.B.2.e.2	Supervision, Human Relations	EN	3.75	03/2002	Legacy Analyst
13-1041.02	1.B.2.e.3	Supervision, Technical	EN	3.25	03/2002	Legacy Analyst
13-1041.02	1.B.2.f	Independence-Mean Extent	EN	2.91	03/2002	Legacy Analyst
13-1041.02	1.B.2.f.1	Creativity	EN	1.75	03/2002	Legacy Analyst
13-1041.02	1.B.2.f.2	Responsibility	EN	3.50	03/2002	Legacy Analyst
13-1041.02	1.B.2.f.3	Autonomy	EN	3.50	03/2002	Legacy Analyst
13-1041.03	1.B.2.a	Achievement-Mean Extent	EN	3.37	03/2002	Legacy Analyst
13-1041.03	1.B.2.a.1	Ability Utilization	EN	3.00	03/2002	Legacy Analyst
13-1041.03	1.B.2.a.2	Achievement	EN	3.75	03/2002	Legacy Analyst
13-1041.03	1.B.2.b	Working Conditions-Mean Extent	EN	3.22	03/2002	Legacy Analyst
13-1041.03	1.B.2.b.1	Activity	EN	3.00	03/2002	Legacy Analyst
13-1041.03	1.B.2.b.2	Independence	EN	2.75	03/2002	Legacy Analyst
13-1041.03	1.B.2.b.3	Variety	EN	3.00	03/2002	Legacy Analyst
13-1041.03	1.B.2.b.4	Compensation	EN	2.87	03/2002	Legacy Analyst
13-1041.03	1.B.2.b.5	Security	EN	3.62	03/2002	Legacy Analyst
13-1041.03	1.B.2.b.6	Working Conditions	EN	4.12	03/2002	Legacy Analyst
13-1041.03	1.B.2.c	Recognition-Mean Extent	EN	3.06	03/2002	Legacy Analyst
13-1041.03	1.B.2.c.1	Advancement	EN	3.00	03/2002	Legacy Analyst
13-1041.03	1.B.2.c.2	Recognition	EN	3.00	03/2002	Legacy Analyst
13-1041.03	1.B.2.c.3	Authority	EN	2.75	03/2002	Legacy Analyst
13-1041.03	1.B.2.c.4	Social Status	EN	3.50	03/2002	Legacy Analyst
13-1041.03	1.B.2.d	Relationships-Mean Extent	EN	3.16	03/2002	Legacy Analyst
13-1041.03	1.B.2.d.1	Co-workers	EN	3.25	03/2002	Legacy Analyst
13-1041.03	1.B.2.d.2	Social Service	EN	3.25	03/2002	Legacy Analyst
13-1041.03	1.B.2.d.3	Moral Values	EN	3.00	03/2002	Legacy Analyst
13-1041.03	1.B.2.e	Support-Mean Extent	EN	3.54	03/2002	Legacy Analyst
13-1041.03	1.B.2.e.1	Company Policies and Practices	EN	3.87	03/2002	Legacy Analyst
13-1041.03	1.B.2.e.2	Supervision, Human Relations	EN	3.75	03/2002	Legacy Analyst
13-1041.03	1.B.2.e.3	Supervision, Technical	EN	3.00	03/2002	Legacy Analyst
13-1041.03	1.B.2.f	Independence-Mean Extent	EN	3.20	03/2002	Legacy Analyst
13-1041.03	1.B.2.f.1	Creativity	EN	2.25	03/2002	Legacy Analyst
13-1041.03	1.B.2.f.2	Responsibility	EN	3.75	03/2002	Legacy Analyst
13-1041.03	1.B.2.f.3	Autonomy	EN	3.62	03/2002	Legacy Analyst
13-1041.04	1.B.2.a	Achievement-Mean Extent	EN	3.37	03/2002	Legacy Analyst
13-1041.04	1.B.2.a.1	Ability Utilization	EN	3.37	03/2002	Legacy Analyst
13-1041.04	1.B.2.a.2	Achievement	EN	3.37	03/2002	Legacy Analyst
13-1041.04	1.B.2.b	Working Conditions-Mean Extent	EN	3.52	03/2002	Legacy Analyst
13-1041.04	1.B.2.b.1	Activity	EN	3.50	03/2002	Legacy Analyst
13-1041.04	1.B.2.b.2	Independence	EN	3.25	03/2002	Legacy Analyst
13-1041.04	1.B.2.b.3	Variety	EN	3.62	03/2002	Legacy Analyst
13-1041.04	1.B.2.b.4	Compensation	EN	3.12	03/2002	Legacy Analyst
13-1041.04	1.B.2.b.5	Security	EN	4.12	03/2002	Legacy Analyst
13-1041.04	1.B.2.b.6	Working Conditions	EN	3.50	03/2002	Legacy Analyst
13-1041.04	1.B.2.c	Recognition-Mean Extent	EN	3.31	03/2002	Legacy Analyst
13-1041.04	1.B.2.c.1	Advancement	EN	3.87	03/2002	Legacy Analyst
13-1041.04	1.B.2.c.2	Recognition	EN	3.00	03/2002	Legacy Analyst
13-1041.04	1.B.2.c.3	Authority	EN	2.75	03/2002	Legacy Analyst
13-1041.04	1.B.2.c.4	Social Status	EN	3.62	03/2002	Legacy Analyst
13-1041.04	1.B.2.d	Relationships-Mean Extent	EN	2.87	03/2002	Legacy Analyst
13-1041.04	1.B.2.d.1	Co-workers	EN	3.25	03/2002	Legacy Analyst
13-1041.04	1.B.2.d.2	Social Service	EN	2.25	03/2002	Legacy Analyst
13-1041.04	1.B.2.d.3	Moral Values	EN	3.12	03/2002	Legacy Analyst
13-1041.04	1.B.2.e	Support-Mean Extent	EN	3.70	03/2002	Legacy Analyst
13-1041.04	1.B.2.e.1	Company Policies and Practices	EN	4.12	03/2002	Legacy Analyst
13-1041.04	1.B.2.e.2	Supervision, Human Relations	EN	4.00	03/2002	Legacy Analyst
13-1041.04	1.B.2.e.3	Supervision, Technical	EN	3.00	03/2002	Legacy Analyst
13-1041.04	1.B.2.f	Independence-Mean Extent	EN	3.00	03/2002	Legacy Analyst
13-1041.04	1.B.2.f.1	Creativity	EN	2.12	03/2002	Legacy Analyst
13-1041.04	1.B.2.f.2	Responsibility	EN	3.50	03/2002	Legacy Analyst
13-1041.04	1.B.2.f.3	Autonomy	EN	3.37	03/2002	Legacy Analyst
13-1041.06	1.B.2.a	Achievement-Mean Extent	EN	3.62	03/2002	Legacy Analyst
13-1041.06	1.B.2.a.1	Ability Utilization	EN	3.87	03/2002	Legacy Analyst
13-1041.06	1.B.2.a.2	Achievement	EN	3.37	03/2002	Legacy Analyst
13-1041.06	1.B.2.b	Working Conditions-Mean Extent	EN	3.18	03/2002	Legacy Analyst
13-1041.06	1.B.2.b.1	Activity	EN	3.37	03/2002	Legacy Analyst
13-1041.06	1.B.2.b.2	Independence	EN	2.62	03/2002	Legacy Analyst
13-1041.06	1.B.2.b.3	Variety	EN	2.75	03/2002	Legacy Analyst
13-1041.06	1.B.2.b.4	Compensation	EN	3.37	03/2002	Legacy Analyst
13-1041.06	1.B.2.b.5	Security	EN	4.25	03/2002	Legacy Analyst
13-1041.06	1.B.2.b.6	Working Conditions	EN	2.75	03/2002	Legacy Analyst
13-1041.06	1.B.2.c	Recognition-Mean Extent	EN	3.03	03/2002	Legacy Analyst
13-1041.06	1.B.2.c.1	Advancement	EN	2.37	03/2002	Legacy Analyst
13-1041.06	1.B.2.c.2	Recognition	EN	3.00	03/2002	Legacy Analyst
13-1041.06	1.B.2.c.3	Authority	EN	3.75	03/2002	Legacy Analyst
13-1041.06	1.B.2.c.4	Social Status	EN	3.00	03/2002	Legacy Analyst
13-1041.06	1.B.2.d	Relationships-Mean Extent	EN	3.25	03/2002	Legacy Analyst
13-1041.06	1.B.2.d.1	Co-workers	EN	3.37	03/2002	Legacy Analyst
13-1041.06	1.B.2.d.2	Social Service	EN	3.00	03/2002	Legacy Analyst
13-1041.06	1.B.2.d.3	Moral Values	EN	3.37	03/2002	Legacy Analyst
13-1041.06	1.B.2.e	Support-Mean Extent	EN	2.62	03/2002	Legacy Analyst
13-1041.06	1.B.2.e.1	Company Policies and Practices	EN	3.37	03/2002	Legacy Analyst
13-1041.06	1.B.2.e.2	Supervision, Human Relations	EN	2.62	03/2002	Legacy Analyst
13-1041.06	1.B.2.e.3	Supervision, Technical	EN	1.87	03/2002	Legacy Analyst
13-1041.06	1.B.2.f	Independence-Mean Extent	EN	3.66	03/2002	Legacy Analyst
13-1041.06	1.B.2.f.1	Creativity	EN	2.62	03/2002	Legacy Analyst
13-1041.06	1.B.2.f.2	Responsibility	EN	4.12	03/2002	Legacy Analyst
13-1041.06	1.B.2.f.3	Autonomy	EN	4.25	03/2002	Legacy Analyst
13-1051.00	1.B.2.a	Achievement-Mean Extent	EN	3.12	03/2002	Legacy Analyst
13-1051.00	1.B.2.a.1	Ability Utilization	EN	3.37	03/2002	Legacy Analyst
13-1051.00	1.B.2.a.2	Achievement	EN	2.87	03/2002	Legacy Analyst
13-1051.00	1.B.2.b	Working Conditions-Mean Extent	EN	3.29	03/2002	Legacy Analyst
13-1051.00	1.B.2.b.1	Activity	EN	3.25	03/2002	Legacy Analyst
13-1051.00	1.B.2.b.2	Independence	EN	3.62	03/2002	Legacy Analyst
13-1051.00	1.B.2.b.3	Variety	EN	2.37	03/2002	Legacy Analyst
13-1051.00	1.B.2.b.4	Compensation	EN	3.12	03/2002	Legacy Analyst
13-1051.00	1.B.2.b.5	Security	EN	3.37	03/2002	Legacy Analyst
13-1051.00	1.B.2.b.6	Working Conditions	EN	4.00	03/2002	Legacy Analyst
13-1051.00	1.B.2.c	Recognition-Mean Extent	EN	2.68	03/2002	Legacy Analyst
13-1051.00	1.B.2.c.1	Advancement	EN	3.12	03/2002	Legacy Analyst
13-1051.00	1.B.2.c.2	Recognition	EN	2.62	03/2002	Legacy Analyst
13-1051.00	1.B.2.c.3	Authority	EN	2.00	03/2002	Legacy Analyst
13-1051.00	1.B.2.c.4	Social Status	EN	3.00	03/2002	Legacy Analyst
13-1051.00	1.B.2.d	Relationships-Mean Extent	EN	2.62	03/2002	Legacy Analyst
13-1051.00	1.B.2.d.1	Co-workers	EN	2.87	03/2002	Legacy Analyst
13-1051.00	1.B.2.d.2	Social Service	EN	2.00	03/2002	Legacy Analyst
13-1051.00	1.B.2.d.3	Moral Values	EN	3.00	03/2002	Legacy Analyst
13-1051.00	1.B.2.e	Support-Mean Extent	EN	3.16	03/2002	Legacy Analyst
13-1051.00	1.B.2.e.1	Company Policies and Practices	EN	3.37	03/2002	Legacy Analyst
13-1051.00	1.B.2.e.2	Supervision, Human Relations	EN	3.37	03/2002	Legacy Analyst
13-1051.00	1.B.2.e.3	Supervision, Technical	EN	2.75	03/2002	Legacy Analyst
13-1051.00	1.B.2.f	Independence-Mean Extent	EN	3.04	03/2002	Legacy Analyst
13-1051.00	1.B.2.f.1	Creativity	EN	2.25	03/2002	Legacy Analyst
13-1051.00	1.B.2.f.2	Responsibility	EN	3.50	03/2002	Legacy Analyst
13-1051.00	1.B.2.f.3	Autonomy	EN	3.37	03/2002	Legacy Analyst
13-1071.01	1.B.2.a	Achievement-Mean Extent	EN	3.18	03/2002	Legacy Analyst
13-1071.01	1.B.2.a.1	Ability Utilization	EN	3.12	03/2002	Legacy Analyst
13-1071.01	1.B.2.a.2	Achievement	EN	3.25	03/2002	Legacy Analyst
13-1071.01	1.B.2.b	Working Conditions-Mean Extent	EN	3.10	03/2002	Legacy Analyst
13-1071.01	1.B.2.b.1	Activity	EN	3.50	03/2002	Legacy Analyst
13-1071.01	1.B.2.b.2	Independence	EN	2.37	03/2002	Legacy Analyst
13-1071.01	1.B.2.b.3	Variety	EN	2.50	03/2002	Legacy Analyst
13-1071.01	1.B.2.b.4	Compensation	EN	2.87	03/2002	Legacy Analyst
13-1071.01	1.B.2.b.5	Security	EN	3.50	03/2002	Legacy Analyst
13-1071.01	1.B.2.b.6	Working Conditions	EN	3.87	03/2002	Legacy Analyst
13-1071.01	1.B.2.c	Recognition-Mean Extent	EN	2.71	03/2002	Legacy Analyst
13-1071.01	1.B.2.c.1	Advancement	EN	3.00	03/2002	Legacy Analyst
13-1071.01	1.B.2.c.2	Recognition	EN	2.62	03/2002	Legacy Analyst
13-1071.01	1.B.2.c.3	Authority	EN	2.62	03/2002	Legacy Analyst
13-1071.01	1.B.2.c.4	Social Status	EN	2.62	03/2002	Legacy Analyst
13-1071.01	1.B.2.d	Relationships-Mean Extent	EN	3.45	03/2002	Legacy Analyst
13-1071.01	1.B.2.d.1	Co-workers	EN	3.37	03/2002	Legacy Analyst
13-1071.01	1.B.2.d.2	Social Service	EN	3.62	03/2002	Legacy Analyst
13-1071.01	1.B.2.d.3	Moral Values	EN	3.37	03/2002	Legacy Analyst
13-1071.01	1.B.2.e	Support-Mean Extent	EN	3.37	03/2002	Legacy Analyst
13-1071.01	1.B.2.e.1	Company Policies and Practices	EN	3.50	03/2002	Legacy Analyst
13-1071.01	1.B.2.e.2	Supervision, Human Relations	EN	3.50	03/2002	Legacy Analyst
13-1071.01	1.B.2.e.3	Supervision, Technical	EN	3.12	03/2002	Legacy Analyst
13-1071.01	1.B.2.f	Independence-Mean Extent	EN	2.79	03/2002	Legacy Analyst
13-1071.01	1.B.2.f.1	Creativity	EN	2.25	03/2002	Legacy Analyst
13-1071.01	1.B.2.f.2	Responsibility	EN	3.00	03/2002	Legacy Analyst
13-1071.01	1.B.2.f.3	Autonomy	EN	3.12	03/2002	Legacy Analyst
13-1071.02	1.B.2.a	Achievement-Mean Extent	EN	3.43	03/2002	Legacy Analyst
13-1071.02	1.B.2.a.1	Ability Utilization	EN	3.12	03/2002	Legacy Analyst
13-1071.02	1.B.2.a.2	Achievement	EN	3.75	03/2002	Legacy Analyst
13-1071.02	1.B.2.b	Working Conditions-Mean Extent	EN	3.35	03/2002	Legacy Analyst
13-1071.02	1.B.2.b.1	Activity	EN	3.75	03/2002	Legacy Analyst
13-1071.02	1.B.2.b.2	Independence	EN	2.75	03/2002	Legacy Analyst
13-1071.02	1.B.2.b.3	Variety	EN	3.00	03/2002	Legacy Analyst
13-1071.02	1.B.2.b.4	Compensation	EN	3.12	03/2002	Legacy Analyst
13-1071.02	1.B.2.b.5	Security	EN	3.50	03/2002	Legacy Analyst
13-1071.02	1.B.2.b.6	Working Conditions	EN	4.00	03/2002	Legacy Analyst
13-1071.02	1.B.2.c	Recognition-Mean Extent	EN	3.00	03/2002	Legacy Analyst
13-1071.02	1.B.2.c.1	Advancement	EN	3.25	03/2002	Legacy Analyst
13-1071.02	1.B.2.c.2	Recognition	EN	2.75	03/2002	Legacy Analyst
13-1071.02	1.B.2.c.3	Authority	EN	2.75	03/2002	Legacy Analyst
13-1071.02	1.B.2.c.4	Social Status	EN	3.25	03/2002	Legacy Analyst
13-1071.02	1.B.2.d	Relationships-Mean Extent	EN	3.20	03/2002	Legacy Analyst
13-1071.02	1.B.2.d.1	Co-workers	EN	3.25	03/2002	Legacy Analyst
13-1071.02	1.B.2.d.2	Social Service	EN	3.25	03/2002	Legacy Analyst
13-1071.02	1.B.2.d.3	Moral Values	EN	3.12	03/2002	Legacy Analyst
13-1071.02	1.B.2.e	Support-Mean Extent	EN	3.54	03/2002	Legacy Analyst
13-1071.02	1.B.2.e.1	Company Policies and Practices	EN	3.87	03/2002	Legacy Analyst
13-1071.02	1.B.2.e.2	Supervision, Human Relations	EN	3.87	03/2002	Legacy Analyst
13-1071.02	1.B.2.e.3	Supervision, Technical	EN	2.87	03/2002	Legacy Analyst
13-1071.02	1.B.2.f	Independence-Mean Extent	EN	3.33	03/2002	Legacy Analyst
13-1071.02	1.B.2.f.1	Creativity	EN	2.87	03/2002	Legacy Analyst
13-1071.02	1.B.2.f.2	Responsibility	EN	3.62	03/2002	Legacy Analyst
13-1071.02	1.B.2.f.3	Autonomy	EN	3.50	03/2002	Legacy Analyst
13-1072.00	1.B.2.a	Achievement-Mean Extent	EN	3.68	03/2002	Legacy Analyst
13-1072.00	1.B.2.a.1	Ability Utilization	EN	3.75	03/2002	Legacy Analyst
13-1072.00	1.B.2.a.2	Achievement	EN	3.62	03/2002	Legacy Analyst
13-1072.00	1.B.2.b	Working Conditions-Mean Extent	EN	3.25	03/2002	Legacy Analyst
13-1072.00	1.B.2.b.1	Activity	EN	3.50	03/2002	Legacy Analyst
13-1072.00	1.B.2.b.2	Independence	EN	2.50	03/2002	Legacy Analyst
13-1072.00	1.B.2.b.3	Variety	EN	3.25	03/2002	Legacy Analyst
13-1072.00	1.B.2.b.4	Compensation	EN	3.12	03/2002	Legacy Analyst
13-1072.00	1.B.2.b.5	Security	EN	3.12	03/2002	Legacy Analyst
13-1072.00	1.B.2.b.6	Working Conditions	EN	4.00	03/2002	Legacy Analyst
13-1072.00	1.B.2.c	Recognition-Mean Extent	EN	2.93	03/2002	Legacy Analyst
13-1072.00	1.B.2.c.1	Advancement	EN	2.87	03/2002	Legacy Analyst
13-1072.00	1.B.2.c.2	Recognition	EN	2.75	03/2002	Legacy Analyst
13-1072.00	1.B.2.c.3	Authority	EN	3.12	03/2002	Legacy Analyst
13-1072.00	1.B.2.c.4	Social Status	EN	3.00	03/2002	Legacy Analyst
13-1072.00	1.B.2.d	Relationships-Mean Extent	EN	3.25	03/2002	Legacy Analyst
13-1072.00	1.B.2.d.1	Co-workers	EN	3.62	03/2002	Legacy Analyst
13-1072.00	1.B.2.d.2	Social Service	EN	2.62	03/2002	Legacy Analyst
13-1072.00	1.B.2.d.3	Moral Values	EN	3.50	03/2002	Legacy Analyst
13-1072.00	1.B.2.e	Support-Mean Extent	EN	3.04	03/2002	Legacy Analyst
13-1072.00	1.B.2.e.1	Company Policies and Practices	EN	3.37	03/2002	Legacy Analyst
13-1072.00	1.B.2.e.2	Supervision, Human Relations	EN	3.25	03/2002	Legacy Analyst
13-1072.00	1.B.2.e.3	Supervision, Technical	EN	2.50	03/2002	Legacy Analyst
13-1072.00	1.B.2.f	Independence-Mean Extent	EN	3.45	03/2002	Legacy Analyst
13-1072.00	1.B.2.f.1	Creativity	EN	3.00	03/2002	Legacy Analyst
13-1072.00	1.B.2.f.2	Responsibility	EN	3.75	03/2002	Legacy Analyst
13-1072.00	1.B.2.f.3	Autonomy	EN	3.62	03/2002	Legacy Analyst
13-1073.00	1.B.2.a	Achievement-Mean Extent	EN	3.68	03/2002	Legacy Analyst
13-1073.00	1.B.2.a.1	Ability Utilization	EN	3.50	03/2002	Legacy Analyst
13-1073.00	1.B.2.a.2	Achievement	EN	3.87	03/2002	Legacy Analyst
13-1073.00	1.B.2.b	Working Conditions-Mean Extent	EN	3.41	03/2002	Legacy Analyst
13-1073.00	1.B.2.b.1	Activity	EN	3.62	03/2002	Legacy Analyst
13-1073.00	1.B.2.b.2	Independence	EN	2.50	03/2002	Legacy Analyst
13-1073.00	1.B.2.b.3	Variety	EN	3.50	03/2002	Legacy Analyst
13-1073.00	1.B.2.b.4	Compensation	EN	3.37	03/2002	Legacy Analyst
13-1073.00	1.B.2.b.5	Security	EN	3.37	03/2002	Legacy Analyst
13-1073.00	1.B.2.b.6	Working Conditions	EN	4.12	03/2002	Legacy Analyst
